char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
http://www.wikidata.org/entity/Q601199,Sunspot,Roberto da Costa,"film character, animated character, mutant","Earth-616, Marvel Universe",,"flight, superhuman strength, photokinesis, thermokinesis",,,,
http://www.wikidata.org/entity/Q2919094,Kiwi Black,Marcus Skarr,mutant,Marvel Universe,,teleportation,,,,
http://www.wikidata.org/entity/Q2568977,Vulcan,Gabriel Summers,mutant,"Earth-616, Marvel Universe",,"flight, power mimicry or absorption, magnetism manipulation, electrokinesis, force field, healing factor",,,,
http://www.wikidata.org/entity/Q4003164,Ultimate Black Cat,Felicia Hardy,"fictional human, comics character",Marvel Universe,,"enhanced smell, superhuman agility / reflexes, probability manipulation, night vision",,,,
http://www.wikidata.org/entity/Q510450,Invisible Woman,Susan Storm,"film character, animated character, mutate","Earth-616, Marvel Universe",,"invisible person, force field",,,,
http://www.wikidata.org/entity/Q841372,Juggernaut,Cain Marko,"CGI character, film character, animated character, mutate, comics character","Earth-616, Marvel Universe",,"superhuman durability, immortality, superhuman strength",,,,
http://www.wikidata.org/entity/Q10342795,Temper,Idie Okonkwo,mutant,"Earth-616, Marvel Universe",,thermokinesis,,,,
http://www.wikidata.org/entity/Q1087722,Morbius,Michael Morbius,"vampire in a work of fiction, film character, animated character, mutate","Earth-616, Marvel Universe",,"Superhuman endurance, superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q327553,Daredevil,Matthew Michael Murdock,"fictional vigilante, film character, television character, animated character, mutate","Earth-616, Marvel Universe",New York City,superhuman senses,Catholicism,male,"ninja, lawyer, superhero, vigilante, martial artist","Avengers, Defenders, Marvel Knights"
http://www.wikidata.org/entity/Q1911253,Nocturne,Talia Josephine Wagner,mutant,Marvel Universe,,"superhuman agility / reflexes, body hopping, telepathy",,,,
http://www.wikidata.org/entity/Q547306,Kitty Pryde,Katherine Anne Pryde,"film character, animated character, mutant","Earth-616, Marvel Universe",Deerfield,intangibility,Judaism,female,"teacher, superhero, bartender, aircraft pilot, government agent, circus performer","X-Men, S.H.I.E.L.D., New Mutants, Guardians of the Galaxy, Excalibur"
http://www.wikidata.org/entity/Q849486,Havok,Alexander Summers,"film character, animated character, mutant","Earth-616, Marvel Universe",Honolulu,energy blasts,Catholicism,male,"superhero, government agent","Starjammers, X-Men, Avengers, Brotherhood of Mutants, Defenders, X-Factor"
http://www.wikidata.org/entity/Q3144206,Hyperstorm,Jonathan Reed Richards,mutant,Marvel Universe,,"magnetism manipulation, electrokinesis",,,,
http://www.wikidata.org/entity/Q59644,Domino,http://www.wikidata.org/.well-known/genid/019c2aed05b2f1ba6f4917d9e98d9f91,"film character, animated character, mutant",Marvel Universe,,probability manipulation,,,,
http://www.wikidata.org/entity/Q5350072,Jean Grey,Jean Elaine Grises Grey,"film character, animated character, comics character, mutant","Earth-616, Marvel Universe",,"flight, force field, astral projection, telekinesis, telepathy",,,,
http://www.wikidata.org/entity/Q188760,Hulk,Bruce Banner,"gamma mutate, film character, mutate, comics character","Earth-616, Marvel Universe",,healing factor,,,,
http://www.wikidata.org/entity/Q1149790,Adam X,Adam Neramani,"extraterrestrial–human hybrid in a work of fiction, mutant","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q371692,Blob,Frederick J. Dukes,"film character, animated character, mutant","Earth-616, Marvel Universe",,"superhuman durability, superhuman strength",,,,
